Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
2L,2L12X12X1-3/8,2L12X12X1-3/8,–,210.0,62.2,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.38,–,–,–,–,–,–,3.5,–,–,1.3,–,8.7,–,–,–,–,826.0,176.0,97.2,3.64,1590.0,218.0,133.0,5.06,–,–,–,–,–,–,–,–,–,–,–,–,6.84,0.831,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X34.9,2L305X305X34.9,312.0,40100,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,35.1,–,–,–,–,–,–,88.9,–,–,33,–,8.7,–,–,–,–,344.0,2880.0,1590.0,92.5,662.0,3570.0,2180.0,129.0,–,–,–,–,–,–,–,–,–,–,–,–,174,0.831,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-3/8X3/4,2L12X12X1-3/8X3/4,–,210.0,62.2,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.38,–,–,–,–,–,–,3.5,–,–,1.3,–,8.7,–,–,–,–,826.0,176.0,97.2,3.64,1760.0,241.0,142.0,5.32,–,–,–,–,–,–,–,–,–,–,–,–,7.03,0.84,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X34.9X19,2L305X305X34.9X19,312.0,40100,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,35.1,–,–,–,–,–,–,88.9,–,–,33,–,8.7,–,–,–,–,344.0,2880.0,1590.0,92.5,733.0,3950.0,2330.0,135.0,–,–,–,–,–,–,–,–,–,–,–,–,179,0.84,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-3/8X1-1/2,2L12X12X1-3/8X1-1/2,–,210.0,62.2,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.38,–,–,–,–,–,–,3.5,–,–,1.3,–,8.7,–,–,–,–,826.0,176.0,97.2,3.64,1950.0,264.0,153.0,5.6,–,–,–,–,–,–,–,–,–,–,–,–,7.25,0.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X34.9X38,2L305X305X34.9X38,312.0,40100,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,35.1,–,–,–,–,–,–,88.9,–,–,33,–,8.7,–,–,–,–,344.0,2880.0,1590.0,92.5,812.0,4330.0,2510.0,142.0,–,–,–,–,–,–,–,–,–,–,–,–,184,0.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-1/4,2L12X12X1-1/4,–,193.0,56.8,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.25,–,–,–,–,–,–,3.45,–,–,1.18,–,9.6,–,–,–,–,762.0,161.0,89.2,3.66,1440.0,196.0,120.0,5.04,–,–,–,–,–,–,–,–,–,–,–,–,6.84,0.829,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X31.8,2L305X305X31.8,287.0,36600,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,31.8,–,–,–,–,–,–,87.6,–,–,30,–,9.6,–,–,–,–,317.0,2640.0,1460.0,93.0,599.0,3210.0,1970.0,128.0,–,–,–,–,–,–,–,–,–,–,–,–,174,0.829,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-1/4X3/4,2L12X12X1-1/4X3/4,–,193.0,56.8,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.25,–,–,–,–,–,–,3.45,–,–,1.18,–,9.6,–,–,–,–,762.0,161.0,89.2,3.66,1590.0,217.0,128.0,5.29,–,–,–,–,–,–,–,–,–,–,–,–,7.03,0.839,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X31.8X19,2L305X305X31.8X19,287.0,36600,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,31.8,–,–,–,–,–,–,87.6,–,–,30,–,9.6,–,–,–,–,317.0,2640.0,1460.0,93.0,662.0,3560.0,2100.0,134.0,–,–,–,–,–,–,–,–,–,–,–,–,179,0.839,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-1/4X1-1/2,2L12X12X1-1/4X1-1/2,–,193.0,56.8,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.25,–,–,–,–,–,–,3.45,–,–,1.18,–,9.6,–,–,–,–,762.0,161.0,89.2,3.66,1760.0,239.0,138.0,5.57,–,–,–,–,–,–,–,–,–,–,–,–,7.24,0.848,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X31.8X38,2L305X305X31.8X38,287.0,36600,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,31.8,–,–,–,–,–,–,87.6,–,–,30,–,9.6,–,–,–,–,317.0,2640.0,1460.0,93.0,733.0,3920.0,2260.0,141.0,–,–,–,–,–,–,–,–,–,–,–,–,184,0.848,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-1/8,2L12X12X1-1/8,–,174.0,51.6,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.13,–,–,–,–,–,–,3.41,–,–,1.08,–,10.6,–,–,–,–,700.0,147.0,81.4,3.68,1300.0,176.0,108.0,5.02,–,–,–,–,–,–,–,–,–,–,–,–,6.85,0.827,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X28.6,2L305X305X28.6,259.0,33300,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,28.7,–,–,–,–,–,–,86.6,–,–,27.4,–,10.6,–,–,–,–,291.0,2410.0,1330.0,93.5,541.0,2880.0,1770.0,128.0,–,–,–,–,–,–,–,–,–,–,–,–,174,0.827,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-1/8X3/4,2L12X12X1-1/8X3/4,–,174.0,51.6,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.13,–,–,–,–,–,–,3.41,–,–,1.08,–,10.6,–,–,–,–,700.0,147.0,81.4,3.68,1440.0,195.0,116.0,5.28,–,–,–,–,–,–,–,–,–,–,–,–,7.04,0.837,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X28.6X19,2L305X305X28.6X19,259.0,33300,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,28.7,–,–,–,–,–,–,86.6,–,–,27.4,–,10.6,–,–,–,–,291.0,2410.0,1330.0,93.5,599.0,3200.0,1900.0,134.0,–,–,–,–,–,–,–,–,–,–,–,–,179,0.837,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1-1/8X1-1/2,2L12X12X1-1/8X1-1/2,–,174.0,51.6,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1.13,–,–,–,–,–,–,3.41,–,–,1.08,–,10.6,–,–,–,–,700.0,147.0,81.4,3.68,1590.0,215.0,125.0,5.55,–,–,–,–,–,–,–,–,–,–,–,–,7.24,0.846,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X28.6X38,2L305X305X28.6X38,259.0,33300,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,28.7,–,–,–,–,–,–,86.6,–,–,27.4,–,10.6,–,–,–,–,291.0,2410.0,1330.0,93.5,662.0,3520.0,2050.0,141.0,–,–,–,–,–,–,–,–,–,–,–,–,184,0.846,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L12X12X1,2L12X12X1,–,156.0,46.0,12,–,–,–,–,–,–,–,12,–,–,–,–,–,–,1,–,–,–,–,–,–,3.36,–,–,0.958,–,12,–,–,–,–,630.0,132.0,73.0,3.7,1150.0,155.0,95.8,5.0,–,–,–,–,–,–,–,–,–,–,–,–,6.85,0.826,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L305X305X25.4,2L305X305X25.4,232.0,29700,305,–,–,–,–,–,–,–,305,–,–,–,–,–,–,25.4,–,–,–,–,–,–,85.3,–,–,24.3,–,12,–,–,–,–,262.0,2160.0,1200.0,94.0,479.0,2540.0,1570.0,127.0,–,–,–,–,–,–,–,–,–,–,–,–,174,0.826,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
