Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
HSS,HSS34X10X1,HSS34X10X1,–,277.07,76.2,–,–,34,31.2,–,–,–,10,7.21,–,–,–,–,–,–,–,1,0.93,–,–,–,–,–,–,–,–,–,–,7.75,–,33.6,–,9600.0,750.0,565.0,11.2,1340.0,307.0,268.0,4.19,–,–,–,4040,–,555,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS863.6X254X25.4,HSS863.6X254X25.4,412.0,49200,–,–,864,792,–,–,–,254,183,–,–,–,–,–,–,–,25.4,23.6,–,–,–,–,–,–,–,–,–,–,7.75,–,33.6,–,4000.0,12300.0,9260.0,284.0,558.0,5030.0,4390.0,106.0,–,–,–,1680000,–,9090,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS34X10X.875,HSS34X10X7/8,–,244.88,67.3,–,–,34,31.6,–,–,–,10,7.56,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,9.29,–,38.8,–,8600.0,668.0,506.0,11.3,1210.0,274.0,242.0,4.24,–,–,–,3630,–,494,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS863.6X254X22.2,HSS863.6X254X22.2,364.0,43400,–,–,864,803,–,–,–,254,192,–,–,–,–,–,–,–,22.2,20.7,–,–,–,–,–,–,–,–,–,–,9.29,–,38.8,–,3580.0,10900.0,8290.0,287.0,504.0,4490.0,3970.0,108.0,–,–,–,1510000,–,8100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS34X10X.750,HSS34X10X3/4,–,212.0,58.2,–,–,34,31.9,–,–,–,10,7.91,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,11.3,–,45.7,–,7550.0,582.0,444.0,11.4,1070.0,240.0,215.0,4.29,–,–,–,3190,–,431,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS863.6X254X19.0,HSS863.6X254X19.0,315.0,37500,–,–,864,810,–,–,–,254,201,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,11.3,–,45.7,–,3140.0,9540.0,7280.0,290.0,445.0,3930.0,3520.0,109.0,–,–,–,1330000,–,7060,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS34X10X.625,HSS34X10X5/8,–,178.41,48.9,–,–,34,32.3,–,–,–,10,8.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,14.2,–,55.5,–,6430.0,493.0,378.0,11.5,924.0,205.0,185.0,4.35,–,–,–,2720,–,365,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS863.6X254X15.9,HSS863.6X254X15.9,266.0,31500,–,–,864,820,–,–,–,254,210,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,14.2,–,55.5,–,2680.0,8080.0,6190.0,292.0,385.0,3360.0,3030.0,110.0,–,–,–,1130000,–,5980,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS30X10X1,HSS30X10X1,–,249.85,68.7,–,–,30,27.2,–,–,–,10,7.21,–,–,–,–,–,–,–,1,0.93,–,–,–,–,–,–,–,–,–,–,7.75,–,29.3,–,6900.0,606.0,460.0,10.0,1180.0,273.0,237.0,4.15,–,–,–,3460,–,487,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS762X254X25.4,HSS762X254X25.4,372.0,44300,–,–,762,691,–,–,–,254,183,–,–,–,–,–,–,–,25.4,23.6,–,–,–,–,–,–,–,–,–,–,7.75,–,29.3,–,2870.0,9930.0,7540.0,254.0,491.0,4470.0,3880.0,105.0,–,–,–,1440000,–,7980,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS30X10X.875,HSS30X10X7/8,–,221.06,60.8,–,–,30,27.6,–,–,–,10,7.56,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,9.29,–,33.9,–,6190.0,540.0,413.0,10.1,1070.0,245.0,215.0,4.2,–,–,–,3110,–,434,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS762X254X22.2,HSS762X254X22.2,329.0,39200,–,–,762,701,–,–,–,254,192,–,–,–,–,–,–,–,22.2,20.7,–,–,–,–,–,–,–,–,–,–,9.29,–,33.9,–,2580.0,8850.0,6770.0,257.0,445.0,4010.0,3520.0,107.0,–,–,–,1290000,–,7110,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS30X10X.750,HSS30X10X3/4,–,191.58,52.6,–,–,30,27.9,–,–,–,10,7.91,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,11.3,–,40,–,5440.0,471.0,363.0,10.2,952.0,215.0,190.0,4.25,–,–,–,2730,–,379,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS762X254X19.0,HSS762X254X19.0,285.0,33900,–,–,762,709,–,–,–,254,201,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,11.3,–,40,–,2260.0,7720.0,5950.0,259.0,396.0,3520.0,3110.0,108.0,–,–,–,1140000,–,6210,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS30X10X.625,HSS30X10X5/8,–,161.4,44.3,–,–,30,28.3,–,–,–,10,8.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,14.2,–,48.6,–,4640.0,400.0,310.0,10.2,820.0,183.0,164.0,4.31,–,–,–,2330,–,321,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS762X254X15.9,HSS762X254X15.9,240.0,28600,–,–,762,719,–,–,–,254,210,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,14.2,–,48.6,–,1930.0,6550.0,5080.0,259.0,341.0,3000.0,2690.0,109.0,–,–,–,970000,–,5260,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS30X10X.500,HSS30X10X1/2,–,130.52,35.8,–,–,30,28.6,–,–,–,10,8.61,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,18.5,–,61.5,–,3810.0,326.0,254.0,10.3,679.0,149.0,136.0,4.36,–,–,–,1910,–,262,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS762X254X12.7,HSS762X254X12.7,194.0,23100,–,–,762,726,–,–,–,254,219,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,18.5,–,61.5,–,1590.0,5340.0,4160.0,262.0,283.0,2440.0,2230.0,111.0,–,–,–,795000,–,4290,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS24X20X.750,HSS24X20X3/4,–,212.0,58.2,–,–,24,21.9,–,–,–,20,17.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,25.7,–,31.4,–,4960.0,489.0,413.0,9.23,3750.0,432.0,375.0,8.02,–,–,–,6740,–,627,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS609.6X508X19.0,HSS609.6X508X19.0,315.0,37500,–,–,610,556,–,–,–,508,455,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,25.7,–,31.4,–,2060.0,8010.0,6770.0,234.0,1560.0,7080.0,6150.0,204.0,–,–,–,2810000,–,10300,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
