Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
M,M12.5X12.4,M12.5X12.4,F,12.4,3.63,12.5,12.5,–,–,–,3.75,3.75,–,–,–,0.155,0.125,0.0625,0.228,0.25,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,8.22,–,–,74.8,–,–,89.3,16.5,14.2,4.96,2.01,1.68,1.07,0.744,–,–,–,0.0493,76,–,11.5,2.46,–,–,2.51,8.06,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.933,12.3,35.5,–,39.3,28.8,32.5,11.375,–,–,M318X18.5,M318X18.5,18.5,2340,318,318,–,–,–,95.3,95.2,–,–,–,3.94,3.18,1.59,5.79,6.35,–,–,–,14.3,14.3,9.53,–,–,–,–,–,8.22,–,–,74.8,–,–,37.2,270.0,233.0,126.0,0.837,27.5,17.5,18.9,–,–,–,20.5,20.4,–,7420,1.02,–,–,41.1,132,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.7,312,902,–,998,732,826,289,–,–
M,M12.5X11.6,M12.5X11.6,F,11.6,3.4,12.5,12.5,–,–,–,3.5,3.5,–,–,–,0.155,0.125,0.0625,0.211,0.1875,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,8.29,–,–,74.8,–,–,80.3,15.0,12.8,4.86,1.51,1.37,0.864,0.667,–,–,–,0.0414,57.1,–,10.8,1.99,–,–,2.17,7.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.852,12.3,34.8,–,38.3,28.5,32,11.375,–,–,M318X17.3,M318X17.3,17.3,2190,318,318,–,–,–,88.9,88.9,–,–,–,3.94,3.18,1.59,5.36,4.76,–,–,–,14.3,14.3,9.53,–,–,–,–,–,8.29,–,–,74.8,–,–,33.4,246.0,210.0,123.0,0.629,22.5,14.2,16.9,–,–,–,17.2,15.3,–,6970,0.828,–,–,35.6,121,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21.6,312,884,–,973,724,813,289,–,–
M,M12X11.8,M12X11.8,F,11.8,3.47,12,12,–,–,–,3.07,3.125,–,–,–,0.177,0.1875,0.125,0.225,0.25,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,6.81,–,–,62.5,–,–,72.2,14.3,12.0,4.56,1.09,1.15,0.709,0.559,–,–,–,0.05,37.7,–,9.04,1.56,–,–,1.92,7.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.731,11.8,32.4,–,35.5,27.1,30.1,10.875,–,–,M310X17.6,M310X17.6,17.6,2240,305,305,–,–,–,78,79.4,–,–,–,4.5,4.76,3.18,5.72,6.35,–,–,–,14.3,14.3,9.53,–,–,–,–,–,6.81,–,–,62.5,–,–,30.1,234.0,197.0,116.0,0.454,18.8,11.6,14.2,–,–,–,20.8,10.1,–,5830,0.649,–,–,31.5,115,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.6,300,823,–,902,688,765,276,–,–
M,M12X10.8,M12X10.8,F,10.8,3.18,12,12,–,–,–,3.07,3.125,–,–,–,0.16,0.1875,0.125,0.21,0.1875,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,7.3,–,–,69.2,–,–,66.7,13.2,11.1,4.58,1.01,1.07,0.661,0.564,–,–,–,0.0393,35,–,9.05,1.46,–,–,1.8,6.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.732,11.8,32.4,–,35.5,27,30.1,10.875,–,–,M310X16.1,M310X16.1,16.1,2050,305,305,–,–,–,78,79.4,–,–,–,4.06,4.76,3.18,5.33,4.76,–,–,–,14.3,14.3,9.53,–,–,–,–,–,7.3,–,–,69.2,–,–,27.8,216.0,182.0,116.0,0.42,17.5,10.8,14.3,–,–,–,16.4,9.4,–,5840,0.608,–,–,29.5,106,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.6,300,823,–,902,686,765,276,–,–
M,M12X10,M12X10,F,10.0,2.95,12,12,–,–,–,3.25,3.25,–,–,–,0.149,0.125,0.0625,0.18,0.1875,–,–,–,0.5,0.5,0.375,–,–,–,–,–,9.03,–,–,74.7,–,–,61.7,12.2,10.3,4.57,1.03,1.02,0.636,0.592,–,–,–,0.0292,35.9,–,9.6,1.4,–,–,1.65,5.98,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.768,11.8,33,–,36.2,27.2,30.4,11,–,–,M310X14.9,M310X14.9,14.9,1900,305,305,–,–,–,82.6,82.6,–,–,–,3.78,3.18,1.59,4.57,4.76,–,–,–,12.7,12.7,9.53,–,–,–,–,–,9.03,–,–,74.7,–,–,25.7,200.0,169.0,116.0,0.429,16.7,10.4,15.0,–,–,–,12.2,9.64,–,6190,0.583,–,–,27,98,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.5,300,838,–,919,691,772,279,–,–
M,M10X9,M10X9,F,9.0,2.65,10,10,–,–,–,2.69,2.75,–,–,–,0.157,0.1875,0.125,0.206,0.1875,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,6.53,–,–,58.4,–,–,39.0,9.22,7.79,3.83,0.672,0.809,0.5,0.503,–,–,–,0.0314,16.1,–,6.59,0.91,–,–,1.28,4.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.65,9.79,27.4,–,30.1,22.7,25.4,8.875,–,–,M250X13.4,M250X13.4,13.4,1710,254,254,–,–,–,68.3,69.8,–,–,–,3.99,4.76,3.18,5.23,4.76,–,–,–,14.3,14.3,9.53,–,–,–,–,–,6.53,–,–,58.4,–,–,16.2,151.0,128.0,97.3,0.28,13.3,8.19,12.8,–,–,–,13.1,4.32,–,4250,0.379,–,–,21,74.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.5,249,696,–,765,577,645,225,–,–
M,M10X8,M10X8,F,8.0,2.37,9.95,10,–,–,–,2.69,2.75,–,–,–,0.141,0.125,0.0625,0.182,0.1875,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,7.39,–,–,65,–,–,34.6,8.2,6.95,3.82,0.593,0.711,0.441,0.5,–,–,–,0.0224,14.2,–,6.57,0.8,–,–,1.13,4.01,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.646,9.77,27.3,–,30,22.6,25.3,8.875,–,–,M250X11.9,M250X11.9,11.9,1530,253,254,–,–,–,68.3,69.8,–,–,–,3.58,3.18,1.59,4.62,4.76,–,–,–,14.3,14.3,9.53,–,–,–,–,–,7.39,–,–,65,–,–,14.4,134.0,114.0,97.0,0.247,11.7,7.23,12.7,–,–,–,9.32,3.81,–,4240,0.333,–,–,18.5,65.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.4,248,693,–,762,574,643,225,–,–
M,M10X7.5,M10X7.5,F,7.5,2.22,9.99,10,–,–,–,2.69,2.75,–,–,–,0.13,0.125,0.0625,0.173,0.1875,–,–,–,0.438,0.4375,0.3125,–,–,–,–,–,7.77,–,–,71,–,–,33.0,7.77,6.6,3.85,0.562,0.67,0.418,0.503,–,–,–,0.0187,13.5,–,6.6,0.77,–,–,1.09,3.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.646,9.82,27.4,–,30.1,22.7,25.4,9.125,–,–,M250X11.2,M250X11.2,11.2,1430,254,254,–,–,–,68.3,69.8,–,–,–,3.3,3.18,1.59,4.39,4.76,–,–,–,11.1,11.1,7.94,–,–,–,–,–,7.77,–,–,71,–,–,13.7,127.0,108.0,97.8,0.234,11.0,6.85,12.8,–,–,–,7.78,3.63,–,4260,0.32,–,–,17.9,62.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.4,249,696,–,765,577,645,232,–,–
M,M8X6.5,M8X6.5,F,6.5,1.92,8,8,–,–,–,2.28,2.25,–,–,–,0.135,0.125,0.0625,0.189,0.1875,–,–,–,0.563,0.5625,0.375,–,–,–,–,–,6.03,–,–,53.8,–,–,18.5,5.43,4.63,3.11,0.376,0.529,0.329,0.443,–,–,–,0.0184,5.73,–,4.45,0.48,–,–,0.79,2.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.563,7.81,22.3,–,24.5,18.3,20.6,6.875,–,–,M200X9.7,M200X9.7,9.7,1240,203,203,–,–,–,57.9,57.2,–,–,–,3.43,3.18,1.59,4.8,4.76,–,–,–,14.3,14.3,9.53,–,–,–,–,–,6.03,–,–,53.8,–,–,7.7,89.0,75.9,79.0,0.157,8.67,5.39,11.3,–,–,–,7.66,1.54,–,2870,0.2,–,–,12.9,43.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.3,198,566,–,622,465,523,175,–,–
M,M8X6.2,M8X6.2,F,6.2,1.82,8,8,–,–,–,2.28,2.25,–,–,–,0.129,0.125,0.0625,0.177,0.1875,–,–,–,0.438,0.4375,0.25,–,–,–,–,–,6.44,–,–,56.5,–,–,17.6,5.15,4.39,3.1,0.352,0.495,0.308,0.439,–,–,–,0.0156,5.38,–,4.46,0.45,–,–,0.74,2.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.56,7.82,22.3,–,24.6,18.3,20.6,7.125,–,–,M200X9.2,M200X9.2,9.2,1170,203,203,–,–,–,57.9,57.2,–,–,–,3.28,3.18,1.59,4.5,4.76,–,–,–,11.1,11.1,6.35,–,–,–,–,–,6.44,–,–,56.5,–,–,7.33,84.4,71.9,78.7,0.147,8.11,5.05,11.2,–,–,–,6.49,1.44,–,2880,0.187,–,–,12.1,41.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,199,566,–,625,465,523,181,–,–
