Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
MT,MT6.25X6.2,MT6.25X6.2,F,6.2,1.82,6.27,6.25,–,–,–,3.75,3.75,–,–,–,0.155,0.125,0.0625,0.228,0.25,–,–,–,0.563,0.5625,–,–,1.74,–,–,0.372,8.22,–,–,–,–,40.4,7.29,2.92,1.61,2.01,1.0,0.839,0.536,0.746,–,–,–,0.0246,0.0284,–,–,–,–,–,–,–,2.69,0.634,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT159X9.25,MT159X9.25,9.25,1170,159,159,–,–,–,95.3,95.2,–,–,–,3.94,3.18,1.59,5.79,6.35,–,–,–,14.3,14.3,–,–,44.2,–,–,9.45,8.22,–,–,–,–,40.4,3.03,47.9,26.4,51.1,0.416,13.7,8.78,18.9,–,–,–,10.2,0.00763,–,–,–,–,–,–,–,68.3,0.634,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT6.25X5.8,MT6.25X5.8,F,5.8,1.7,6.25,6.25,–,–,–,3.5,3.5,–,–,–,0.155,0.125,0.0625,0.211,0.1875,–,–,–,0.563,0.5625,–,–,1.84,–,–,0.808,8.29,–,–,–,–,40.3,6.94,2.86,1.57,2.03,0.756,0.684,0.432,0.669,–,–,–,0.0206,0.0268,–,–,–,–,–,–,–,2.75,0.602,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT159X8.65,MT159X8.65,8.65,1100,159,159,–,–,–,88.9,88.9,–,–,–,3.94,3.18,1.59,5.36,4.76,–,–,–,14.3,14.3,–,–,46.7,–,–,20.5,8.29,–,–,–,–,40.3,2.89,46.9,25.7,51.6,0.315,11.2,7.08,17.0,–,–,–,8.57,0.0072,–,–,–,–,–,–,–,69.9,0.602,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT6X5.9,MT6X5.9,F,5.9,1.74,6,6,–,–,–,3.07,3.125,–,–,–,0.177,0.1875,0.125,0.225,0.25,–,–,–,0.563,0.5625,–,–,1.89,–,–,1.13,6.82,–,–,–,–,33.9,6.61,2.89,1.61,1.96,0.543,0.575,0.354,0.561,–,–,–,0.0249,0.0337,–,–,–,–,–,–,–,2.71,0.567,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT155X8.8,MT155X8.8,8.8,1120,152,152,–,–,–,78,79.4,–,–,–,4.5,4.76,3.18,5.72,6.35,–,–,–,14.3,14.3,–,–,48,–,–,28.7,6.82,–,–,–,–,33.9,2.75,47.4,26.4,49.8,0.226,9.42,5.8,14.2,–,–,–,10.4,0.00905,–,–,–,–,–,–,–,68.8,0.567,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT6X5.4,MT6X5.4,F,5.4,1.59,5.99,5.875,–,–,–,3.07,3.125,–,–,–,0.16,0.1875,0.125,0.21,0.1875,–,–,–,0.563,0.5625,–,–,1.86,–,–,1.05,7.31,–,–,–,–,37.4,6.03,2.63,1.46,1.95,0.506,0.532,0.33,0.566,–,–,–,0.0196,0.025,–,–,–,–,–,–,–,2.69,0.574,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT155X8.05,MT155X8.05,8.05,1030,152,149,–,–,–,78,79.4,–,–,–,4.06,4.76,3.18,5.33,4.76,–,–,–,14.3,14.3,–,–,47.2,–,–,26.7,7.31,–,–,–,–,37.4,2.51,43.1,23.9,49.5,0.211,8.72,5.41,14.4,–,–,–,8.16,0.00671,–,–,–,–,–,–,–,68.3,0.574,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT6X5,MT6X5,F,5.0,1.48,5.99,5.875,–,–,–,3.25,3.25,–,–,–,0.149,0.125,0.0625,0.18,0.1875,–,–,–,0.5,0.5,–,–,1.86,–,–,1.08,9.03,–,–,–,–,40.2,5.62,2.45,1.36,1.96,0.517,0.509,0.318,0.594,–,–,–,0.0145,0.0202,–,–,–,–,–,–,–,2.71,0.572,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT155X7.45,MT155X7.45,7.45,955,152,149,–,–,–,82.6,82.6,–,–,–,3.78,3.18,1.59,4.57,4.76,–,–,–,12.7,12.7,–,–,47.2,–,–,27.4,9.03,–,–,–,–,40.2,2.34,40.1,22.3,49.8,0.215,8.34,5.21,15.1,–,–,–,6.04,0.00542,–,–,–,–,–,–,–,68.8,0.572,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT5X4.5,MT5X4.5,F,4.5,1.33,5,5,–,–,–,2.69,2.75,–,–,–,0.157,0.1875,0.125,0.206,0.1875,–,–,–,0.563,0.5625,–,–,1.54,–,–,0.808,6.53,–,–,–,–,31.8,3.47,1.81,1.0,1.62,0.336,0.403,0.25,0.505,–,–,–,0.0156,0.0138,–,–,–,–,–,–,–,2.22,0.585,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT125X6.7,MT125X6.7,6.7,858,127,127,–,–,–,68.3,69.8,–,–,–,3.99,4.76,3.18,5.23,4.76,–,–,–,14.3,14.3,–,–,39.1,–,–,20.5,6.53,–,–,–,–,31.8,1.44,29.7,16.4,41.1,0.14,6.6,4.1,12.8,–,–,–,6.49,0.00371,–,–,–,–,–,–,–,56.4,0.585,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT5X4,MT5X4,F,4.0,1.19,4.98,4.875,–,–,–,2.69,2.75,–,–,–,0.141,0.125,0.0625,0.182,0.1875,–,–,–,0.563,0.5625,–,–,1.52,–,–,0.809,7.39,–,–,–,–,35.3,3.08,1.61,0.894,1.62,0.296,0.354,0.22,0.502,–,–,–,0.0112,0.00989,–,–,–,–,–,–,–,2.22,0.583,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT125X5.95,MT125X5.95,5.95,768,126,124,–,–,–,68.3,69.8,–,–,–,3.58,3.18,1.59,4.62,4.76,–,–,–,14.3,14.3,–,–,38.6,–,–,20.5,7.39,–,–,–,–,35.3,1.28,26.4,14.7,41.1,0.123,5.8,3.61,12.8,–,–,–,4.66,0.00266,–,–,–,–,–,–,–,56.4,0.583,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT5X3.75,MT5X3.75,F,3.75,1.11,5,5,–,–,–,2.69,2.75,–,–,–,0.13,0.125,0.0625,0.173,0.1875,–,–,–,0.438,0.4375,–,–,1.51,–,–,0.759,7.77,–,–,–,–,38.4,2.91,1.51,0.836,1.63,0.281,0.334,0.209,0.505,–,–,–,0.00932,0.00792,–,–,–,–,–,–,–,2.22,0.588,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT125X5.6,MT125X5.6,5.6,716,127,127,–,–,–,68.3,69.8,–,–,–,3.3,3.18,1.59,4.39,4.76,–,–,–,11.1,11.1,–,–,38.4,–,–,19.3,7.77,–,–,–,–,38.4,1.21,24.7,13.7,41.4,0.117,5.47,3.42,12.8,–,–,–,3.88,0.00213,–,–,–,–,–,–,–,56.4,0.588,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT4X3.25,MT4X3.25,F,3.25,0.959,4,4,–,–,–,2.28,2.25,–,–,–,0.135,0.125,0.0625,0.189,0.1875,–,–,–,0.563,0.5625,–,–,1.18,–,–,0.472,6.03,–,–,–,–,29.6,1.57,1.01,0.558,1.29,0.188,0.264,0.165,0.444,–,–,–,0.00917,0.00463,–,–,–,–,–,–,–,1.74,0.612,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT100X4.85,MT100X4.85,4.85,619,102,102,–,–,–,57.9,57.2,–,–,–,3.43,3.18,1.59,4.8,4.76,–,–,–,14.3,14.3,–,–,30,–,–,12,6.03,–,–,–,–,29.6,0.653,16.6,9.14,32.8,0.0783,4.33,2.7,11.3,–,–,–,3.82,0.00124,–,–,–,–,–,–,–,44.2,0.612,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
MT,MT4X3.1,MT4X3.1,F,3.1,0.911,4,4,–,–,–,2.28,2.25,–,–,–,0.129,0.125,0.0625,0.177,0.1875,–,–,–,0.438,0.4375,–,–,1.18,–,–,0.497,6.44,–,–,–,–,31,1.5,0.967,0.533,1.29,0.176,0.247,0.154,0.441,–,–,–,0.00778,0.00403,–,–,–,–,–,–,–,1.75,0.608,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,MT100X4.6,MT100X4.6,4.6,588,102,102,–,–,–,57.9,57.2,–,–,–,3.28,3.18,1.59,4.5,4.76,–,–,–,11.1,11.1,–,–,30,–,–,12.6,6.44,–,–,–,–,31,0.624,15.8,8.73,32.8,0.0733,4.05,2.52,11.2,–,–,–,3.24,0.00108,–,–,–,–,–,–,–,44.5,0.608,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
