Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
S,S24X121,S24X121,–,121.0,35.5,24.5,24.5,–,–,–,8.05,8,–,–,–,0.8,0.8125,0.4375,1.09,1.0625,–,–,–,2,2,–,–,–,–,–,–,3.69,–,–,25.9,–,–,3160.0,306.0,258.0,9.43,83.0,36.3,20.6,1.53,–,–,–,12.8,11400,–,47.1,103,–,–,46.2,153,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.94,23.4,68.6,–,76.6,57.1,65.1,20.5,4,–,S610X180,S610X180,180.0,22900,622,622,–,–,–,204,203,–,–,–,20.3,20.6,11.1,27.7,27,–,–,–,50.8,50.8,–,–,–,–,–,–,3.69,–,–,25.9,–,–,1320.0,5010.0,4230.0,240.0,34.5,595.0,338.0,38.9,–,–,–,5330,3060,–,30400,42.9,–,–,757,2510,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49.3,594,1740,–,1950,1450,1650,521,102,–
S,S24X106,S24X106,–,106.0,31.1,24.5,24.5,–,–,–,7.87,7.875,–,–,–,0.62,0.625,0.3125,1.09,1.0625,–,–,–,2,2,–,–,–,–,–,–,3.61,–,–,33.4,–,–,2940.0,279.0,240.0,9.71,76.8,33.4,19.5,1.57,–,–,–,10.1,10500,–,46.1,98.8,–,–,46.2,139,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.93,23.4,68.4,–,76.3,56.9,64.7,20.5,4,–,S610X158,S610X158,158.0,20100,622,622,–,–,–,200,200,–,–,–,15.7,15.9,7.94,27.7,27,–,–,–,50.8,50.8,–,–,–,–,–,–,3.61,–,–,33.4,–,–,1220.0,4570.0,3930.0,247.0,32.0,547.0,320.0,39.9,–,–,–,4200,2820,–,29700,41.1,–,–,757,2280,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49,594,1740,–,1940,1450,1640,521,102,–
S,S24X100,S24X100,–,100.0,29.3,24,24,–,–,–,7.25,7.25,–,–,–,0.745,0.75,0.375,0.87,0.875,–,–,–,1.75,1.75,–,–,–,–,–,–,4.16,–,–,27.8,–,–,2380.0,239.0,199.0,9.01,47.4,24.0,13.1,1.27,–,–,–,7.59,6350,–,41.9,66,–,–,32.7,119,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.66,23.1,65.5,–,72.8,55.3,62.5,20.5,4,–,S610X149,S610X149,149.0,18900,610,610,–,–,–,184,184,–,–,–,18.9,19,9.52,22.1,22.2,–,–,–,44.5,44.5,–,–,–,–,–,–,4.16,–,–,27.8,–,–,991.0,3920.0,3260.0,229.0,19.7,393.0,215.0,32.3,–,–,–,3160,1710,–,27000,27.5,–,–,536,1950,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42.2,587,1660,–,1850,1400,1590,521,102,–
S,S24X90,S24X90,–,90.0,26.5,24,24,–,–,–,7.13,7.125,–,–,–,0.625,0.625,0.3125,0.87,0.875,–,–,–,1.75,1.75,–,–,–,–,–,–,4.09,–,–,33.1,–,–,2250.0,222.0,187.0,9.21,44.7,22.4,12.5,1.3,–,–,–,6.05,5980,–,41.2,63.8,–,–,32.7,110,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.66,23.1,65.4,–,72.5,55.1,62.3,20.5,4,–,S610X134,S610X134,134.0,17100,610,610,–,–,–,181,181,–,–,–,15.9,15.9,7.94,22.1,22.2,–,–,–,44.5,44.5,–,–,–,–,–,–,4.09,–,–,33.1,–,–,937.0,3640.0,3060.0,234.0,18.6,367.0,205.0,33.0,–,–,–,2520,1610,–,26600,26.6,–,–,536,1800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42.2,587,1660,–,18400,1400,1580,521,102,–
S,S24X80,S24X80,–,80.0,23.5,24,24,–,–,–,7,7,–,–,–,0.5,0.5,0.25,0.87,0.875,–,–,–,1.75,1.75,–,–,–,–,–,–,4.02,–,–,41.4,–,–,2100.0,204.0,175.0,9.47,42.0,20.8,12.0,1.34,–,–,–,4.89,5620,–,40.5,61.6,–,–,32.7,101,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.67,23.1,65.2,–,72.2,55,62,20.5,4,–,S610X119,S610X119,119.0,15200,610,610,–,–,–,178,178,–,–,–,12.7,12.7,6.35,22.1,22.2,–,–,–,44.5,44.5,–,–,–,–,–,–,4.02,–,–,41.4,–,–,874.0,3340.0,2870.0,241.0,17.5,341.0,197.0,34.0,–,–,–,2040,1510,–,26100,25.6,–,–,536,1660,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42.4,587,1660,–,1830,1400,1570,521,102,–
S,S20X96,S20X96,–,96.0,28.2,20.3,20.25,–,–,–,7.2,7.25,–,–,–,0.8,0.8125,0.4375,0.92,0.9375,–,–,–,1.75,1.75,–,–,–,–,–,–,3.91,–,–,21.1,–,–,1670.0,198.0,165.0,7.71,49.9,24.9,13.9,1.33,–,–,–,8.4,4690,–,34.9,57.8,–,–,28.5,98.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.71,19.4,57.9,–,65.1,47.8,55,16.75,4,–,S510X143,S510X143,143.0,18200,516,514,–,–,–,183,184,–,–,–,20.3,20.6,11.1,23.4,23.8,–,–,–,44.5,44.5,–,–,–,–,–,–,3.91,–,–,21.1,–,–,695.0,3240.0,2700.0,196.0,20.8,408.0,228.0,33.8,–,–,–,3500,1260,–,22500,24.1,–,–,467,1610,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43.4,493,1470,–,1650,1210,1400,425,102,–
S,S20X86,S20X86,–,86.0,25.3,20.3,20.25,–,–,–,7.06,7,–,–,–,0.66,0.6875,0.375,0.92,0.9375,–,–,–,1.75,1.75,–,–,–,–,–,–,3.84,–,–,25.6,–,–,1570.0,183.0,155.0,7.89,46.6,23.1,13.2,1.36,–,–,–,6.65,4370,–,34.2,55.5,–,–,28.5,91.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.71,19.4,57.8,–,64.9,47.7,54.7,16.75,4,–,S510X128,S510X128,128.0,16300,516,514,–,–,–,179,178,–,–,–,16.8,17.5,9.52,23.4,23.8,–,–,–,44.5,44.5,–,–,–,–,–,–,3.84,–,–,25.6,–,–,653.0,3000.0,2540.0,200.0,19.4,379.0,216.0,34.5,–,–,–,2770,1170,–,22100,23.1,–,–,467,1490,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43.4,493,1470,–,1650,1210,1390,425,102,–
S,S20X75,S20X75,–,75.0,22.0,20,20,–,–,–,6.39,6.375,–,–,–,0.635,0.625,0.3125,0.795,0.8125,–,–,–,1.63,1.625,–,–,–,–,–,–,4.02,–,–,26.6,–,–,1280.0,152.0,128.0,7.62,29.5,16.7,9.25,1.16,–,–,–,4.59,2720,–,30.7,38.9,–,–,21.9,75.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.49,19.2,55.4,–,61.8,46.4,52.8,16.75,3.5,–,S510X112,S510X112,112.0,14200,508,508,–,–,–,162,162,–,–,–,16.1,15.9,7.94,20.2,20.6,–,–,–,41.4,41.3,–,–,–,–,–,–,4.02,–,–,26.6,–,–,533.0,2490.0,2100.0,194.0,12.3,274.0,152.0,29.5,–,–,–,1910,730,–,19800,16.2,–,–,359,1240,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37.8,488,1410,–,1570,1180,1340,425,88.9,–
S,S20X66,S20X66,–,66.0,19.4,20,20,–,–,–,6.26,6.25,–,–,–,0.505,0.5,0.25,0.795,0.8125,–,–,–,1.63,1.625,–,–,–,–,–,–,3.93,–,–,33.5,–,–,1190.0,139.0,119.0,7.83,27.5,15.4,8.78,1.19,–,–,–,3.58,2530,–,30,37.3,–,–,21.9,69.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.49,19.2,55.3,–,61.5,46.3,52.5,16.75,3.5,–,S510X98.2,S510X98.2,98.2,12500,508,508,–,–,–,159,159,–,–,–,12.8,12.7,6.35,20.2,20.6,–,–,–,41.4,41.3,–,–,–,–,–,–,3.93,–,–,33.5,–,–,495.0,2280.0,1950.0,199.0,11.4,252.0,144.0,30.2,–,–,–,1490,679,–,19400,15.5,–,–,359,1130,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37.8,488,1400,–,1560,1180,1330,425,88.9,–
S,S18X70,S18X70,–,70.0,20.5,18,18,–,–,–,6.25,6.25,–,–,–,0.711,0.6875,0.375,0.691,0.6875,–,–,–,1.5,1.5,–,–,–,–,–,–,4.52,–,–,21.5,–,–,923.0,124.0,103.0,6.7,24.0,14.3,7.69,1.08,–,–,–,4.1,1800,–,27,29.2,–,–,16.6,61.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.42,17.3,50.9,–,57.2,42.3,48.5,15,3.5,–,S460X104,S460X104,104.0,13200,457,457,–,–,–,159,159,–,–,–,18.1,17.5,9.52,17.6,17.5,–,–,–,38.1,38.1,–,–,–,–,–,–,4.52,–,–,21.5,–,–,384.0,2030.0,1690.0,170.0,9.99,234.0,126.0,27.4,–,–,–,1710,483,–,17400,12.2,–,–,272,1010,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36.1,439,1290,–,1450,1070,1230,381,88.9,–
