Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
ST,ST12X60.5,ST12X60.5,–,60.5,17.8,12.3,12.25,–,–,–,8.05,8,–,–,–,0.8,0.8125,0.4375,1.09,1.0625,–,–,–,2,2,–,–,3.63,–,–,1.26,3.69,–,–,–,–,15.4,259.0,54.5,30.1,3.82,41.5,18.1,10.3,1.53,–,–,–,6.38,27.5,–,–,–,–,–,–,–,5.14,0.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST305X90,ST305X90,90.0,11500,312,311,–,–,–,204,203,–,–,–,20.3,20.6,11.1,27.7,27,–,–,–,50.8,50.8,–,–,92.2,–,–,32,3.69,–,–,–,–,15.4,108.0,893.0,493.0,97.0,17.3,297.0,169.0,38.9,–,–,–,2660,7.38,–,–,–,–,–,–,–,131,0.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST12X53,ST12X53,–,53.0,15.6,12.3,12.25,–,–,–,7.87,7.875,–,–,–,0.62,0.625,0.3125,1.09,1.0625,–,–,–,2,2,–,–,3.28,–,–,1.02,3.61,–,–,–,–,19.8,216.0,43.3,24.1,3.72,38.4,16.7,9.76,1.57,–,–,–,5.05,15,–,–,–,–,–,–,–,4.88,0.686,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST305X79,ST305X79,79.0,10100,312,311,–,–,–,200,200,–,–,–,15.7,15.9,7.94,27.7,27,–,–,–,50.8,50.8,–,–,83.3,–,–,25.9,3.61,–,–,–,–,19.8,89.9,710.0,395.0,94.5,16.0,274.0,160.0,39.9,–,–,–,2100,4.03,–,–,–,–,–,–,–,124,0.686,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST12X50,ST12X50,–,50.0,14.7,12,12,–,–,–,7.25,7.25,–,–,–,0.745,0.75,0.375,0.87,0.875,–,–,–,1.75,1.75,–,–,3.84,–,–,2.16,4.17,–,–,–,–,16.1,215.0,47.5,26.3,3.83,23.7,12.0,6.55,1.27,–,–,–,3.76,19.5,–,–,–,–,–,–,–,5.28,0.584,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST305X74.5,ST305X74.5,74.5,9480,305,305,–,–,–,184,184,–,–,–,18.9,19,9.52,22.1,22.2,–,–,–,44.5,44.5,–,–,97.5,–,–,54.9,4.17,–,–,–,–,16.1,89.5,778.0,431.0,97.3,9.86,197.0,107.0,32.3,–,–,–,1570,5.24,–,–,–,–,–,–,–,134,0.584,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST12X45,ST12X45,–,45.0,13.2,12,12,–,–,–,7.13,7.125,–,–,–,0.625,0.625,0.3125,0.87,0.875,–,–,–,1.75,1.75,–,–,3.6,–,–,1.42,4.1,–,–,–,–,19.2,190.0,41.1,22.6,3.79,22.3,11.2,6.27,1.3,–,–,–,3.01,12.1,–,–,–,–,–,–,–,5.11,0.615,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST305X67,ST305X67,67.0,8520,305,305,–,–,–,181,181,–,–,–,15.9,15.9,7.94,22.1,22.2,–,–,–,44.5,44.5,–,–,91.4,–,–,36.1,4.1,–,–,–,–,19.2,79.1,674.0,370.0,96.3,9.28,184.0,103.0,33.0,–,–,–,1250,3.25,–,–,–,–,–,–,–,130,0.615,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST12X40,ST12X40,–,40.0,11.7,12,12,–,–,–,7,7,–,–,–,0.5,0.5,0.25,0.87,0.875,–,–,–,1.75,1.75,–,–,3.3,–,–,0.909,4.02,–,–,–,–,24,162.0,33.6,18.6,3.72,21.0,10.4,6.0,1.34,–,–,–,2.44,6.94,–,–,–,–,–,–,–,4.88,0.656,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST305X59.5,ST305X59.5,59.5,7550,305,305,–,–,–,178,178,–,–,–,12.7,12.7,6.35,22.1,22.2,–,–,–,44.5,44.5,–,–,83.8,–,–,23.1,4.02,–,–,–,–,24,67.4,551.0,305.0,94.5,8.74,170.0,98.3,34.0,–,–,–,1020,1.86,–,–,–,–,–,–,–,124,0.656,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST10X48,ST10X48,–,48.0,14.1,10.2,10.125,–,–,–,7.2,7.25,–,–,–,0.8,0.8125,0.4375,0.92,0.9375,–,–,–,1.75,1.75,–,–,3.13,–,–,1.35,3.91,–,–,–,–,12.7,143.0,36.9,20.3,3.18,25.0,12.5,6.93,1.33,–,–,–,4.16,15,–,–,–,–,–,–,–,4.36,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST255X71.5,ST255X71.5,71.5,9100,259,257,–,–,–,183,184,–,–,–,20.3,20.6,11.1,23.4,23.8,–,–,–,44.5,44.5,–,–,79.5,–,–,34.3,3.91,–,–,–,–,12.7,59.5,605.0,333.0,80.8,10.4,205.0,114.0,33.8,–,–,–,1730,4.03,–,–,–,–,–,–,–,111,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST10X43,ST10X43,–,43.0,12.7,10.2,10.125,–,–,–,7.06,7,–,–,–,0.66,0.6875,0.375,0.92,0.9375,–,–,–,1.75,1.75,–,–,2.91,–,–,0.972,3.84,–,–,–,–,15.4,124.0,31.1,17.2,3.13,23.3,11.6,6.59,1.36,–,–,–,3.3,9.17,–,–,–,–,–,–,–,4.21,0.659,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,ST255X64,ST255X64,64.0,8190,259,257,–,–,–,179,178,–,–,–,16.8,17.5,9.52,23.4,23.8,–,–,–,44.5,44.5,–,–,73.9,–,–,24.7,3.84,–,–,–,–,15.4,51.6,510.0,282.0,79.5,9.7,190.0,108.0,34.5,–,–,–,1370,2.46,–,–,–,–,–,–,–,107,0.659,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,–
ST,ST10X37.5,ST10X37.5,–,37.5,11.0,10,10,–,–,–,6.39,6.375,–,–,–,0.635,0.625,0.3125,0.795,0.8125,–,–,–,1.63,1.625,–,–,3.07,–,–,1.34,4.02,–,–,–,–,15.7,109.0,28.6,15.8,3.15,14.8,8.36,4.62,1.16,–,–,–,2.28,7.21,–,–,–,–,–,–,–,4.29,0.613,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,ST255X56,ST255X56,56.0,7100,254,254,–,–,–,162,162,–,–,–,16.1,15.9,7.94,20.2,20.6,–,–,–,41.4,41.3,–,–,78,–,–,34,4.02,–,–,–,–,15.7,45.4,469.0,259.0,80.0,6.16,137.0,75.7,29.5,–,–,–,949,1.94,–,–,–,–,–,–,–,109,0.613,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,88.9,–
ST,ST10X33,ST10X33,–,33.0,9.7,10,10,–,–,–,6.26,6.25,–,–,–,0.505,0.5,0.25,0.795,0.8125,–,–,–,1.63,1.625,–,–,2.81,–,–,0.841,3.94,–,–,–,–,19.8,92.9,23.4,12.9,3.1,13.7,7.7,4.39,1.19,–,–,–,1.78,4.02,–,–,–,–,–,–,–,4.1,0.654,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,ST255X49.1,ST255X49.1,49.1,6260,254,254,–,–,–,159,159,–,–,–,12.8,12.7,6.35,20.2,20.6,–,–,–,41.4,41.3,–,–,71.4,–,–,21.4,3.94,–,–,–,–,19.8,38.7,383.0,211.0,78.7,5.7,126.0,71.9,30.2,–,–,–,741,1.08,–,–,–,–,–,–,–,104,0.654,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,88.9,–
ST,ST9X35,ST9X35,–,35.0,10.3,9,9,–,–,–,6.25,6.25,–,–,–,0.711,0.6875,0.375,0.691,0.6875,–,–,–,1.5,1.5,–,–,2.94,–,–,1.78,4.52,–,–,–,–,12.7,84.5,25.1,14.0,2.87,12.0,7.17,3.84,1.08,–,–,–,2.02,7.03,–,–,–,–,–,–,–,4.02,0.582,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,ST230X52,ST230X52,52.0,6650,229,229,–,–,–,159,159,–,–,–,18.1,17.5,9.52,17.6,17.5,–,–,–,38.1,38.1,–,–,74.7,–,–,45.2,4.52,–,–,–,–,12.7,35.2,411.0,229.0,72.9,4.99,117.0,62.9,27.4,–,–,–,841,1.89,–,–,–,–,–,–,–,102,0.582,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,88.9,–
