Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
WT,WT22X204,WT22X204,T,204.0,59.9,22.4,22.375,–,–,–,16.1,16.125,–,–,–,1.22,1.25,0.625,2.17,2.1875,–,–,–,2.96,3.375,–,–,5.71,–,–,1.86,3.71,–,–,–,–,18.4,2670.0,286.0,160.0,6.68,758.0,148.0,94.2,3.56,–,–,–,66.9,785,–,–,–,–,–,–,–,8.87,0.728,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,60.2,–,76.3,60.9,77,–,5.5,3,WT550X303.5,WT550X303.5,304.0,38600,569,568,–,–,–,409,410,–,–,–,31,31.8,15.9,55.1,55.6,–,–,–,75.2,85.7,–,–,145,–,–,47.2,3.71,–,–,–,–,18.4,1110.0,4690.0,2620.0,170.0,316.0,2430.0,1540.0,90.4,–,–,–,27800,211,–,–,–,–,–,–,–,225,0.728,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1530,–,1940,1550,1960,–,140,76.2
WT,WT22X184,WT22X184,F,184.0,54.0,22.2,22.125,–,–,–,16,16,–,–,–,1.1,1.125,0.5625,1.97,2,–,–,–,2.76,3.1875,–,–,5.57,–,–,1.69,4.06,–,–,–,–,20.2,2380.0,255.0,143.0,6.64,675.0,132.0,84.4,3.54,–,–,–,49.9,570,–,–,–,–,–,–,–,8.81,0.729,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,59.7,–,75.7,60.4,76.4,–,5.5,3,WT550X274,WT550X274,274.0,34800,564,562,–,–,–,406,406,–,–,–,27.9,28.6,14.3,50,50.8,–,–,–,70.1,81,–,–,141,–,–,42.9,4.06,–,–,–,–,20.2,991.0,4180.0,2340.0,169.0,281.0,2160.0,1380.0,89.9,–,–,–,20800,153,–,–,–,–,–,–,–,224,0.729,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1520,–,1920,1530,1940,–,140,76.2
WT,WT22X167.5,WT22X167.5,F,167.5,49.2,22,22,–,–,–,15.9,16,–,–,–,1.03,1,0.5,1.77,1.75,–,–,–,2.56,3,–,–,5.53,–,–,1.54,4.5,–,–,–,–,21.4,2170.0,234.0,131.0,6.63,600.0,118.0,75.2,3.49,–,–,–,37.2,438,–,–,–,–,–,–,–,8.82,0.723,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,58.9,–,74.8,59.9,75.8,–,5.5,3,WT550X249.5,WT550X249.5,250.0,31700,559,559,–,–,–,404,406,–,–,–,26.2,25.4,12.7,45,44.4,–,–,–,65,76.2,–,–,140,–,–,39.1,4.5,–,–,–,–,21.4,903.0,3830.0,2150.0,168.0,250.0,1930.0,1230.0,88.6,–,–,–,15500,118,–,–,–,–,–,–,–,224,0.723,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1500,–,1900,1520,1930,–,140,76.2
WT,WT22X145,WT22X145,F,145.0,42.6,21.8,21.75,–,–,–,15.8,15.875,–,–,–,0.865,0.875,0.4375,1.58,1.5625,–,–,–,2.36,2.8125,–,–,5.26,–,–,1.35,5.02,–,–,–,–,25.2,1830.0,196.0,111.0,6.54,521.0,102.0,65.9,3.49,–,–,–,25.4,275,–,–,–,–,–,–,–,8.66,0.733,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,58.4,–,74.2,59.4,75.2,–,5.5,3,WT550X216.5,WT550X216.5,217.0,27500,554,552,–,–,–,401,403,–,–,–,22,22.2,11.1,40.1,39.7,–,–,–,59.9,71.4,–,–,134,–,–,34.3,5.02,–,–,–,–,25.2,762.0,3210.0,1820.0,166.0,217.0,1670.0,1080.0,88.6,–,–,–,10600,73.8,–,–,–,–,–,–,–,220,0.733,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1480,–,1880,1510,1910,–,140,76.2
WT,WT22X131,WT22X131,F,131.0,38.5,21.7,21.625,–,–,–,15.8,15.75,–,–,–,0.785,0.8125,0.4375,1.42,1.4375,–,–,–,2.2,2.625,–,–,5.19,–,–,1.22,5.57,–,–,–,–,27.6,1640.0,176.0,99.4,6.53,462.0,90.9,58.6,3.47,–,–,–,18.6,200,–,–,–,–,–,–,–,8.64,0.731,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,58.2,–,74,59.2,75,–,5.5,3,WT550X195,WT550X195,195.0,24800,551,549,–,–,–,401,400,–,–,–,19.9,20.6,11.1,36.1,36.5,–,–,–,55.9,66.7,–,–,132,–,–,31,5.57,–,–,–,–,27.6,683.0,2880.0,1630.0,166.0,192.0,1490.0,960.0,88.1,–,–,–,7740,53.7,–,–,–,–,–,–,–,219,0.731,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1480,–,1880,1500,1910,–,140,76.2
WT,WT22X115,WT22X115,F,115.0,33.9,21.5,21.5,–,–,–,15.8,15.75,–,–,–,0.71,0.6875,0.375,1.22,1.25,–,–,–,2.01,2.4375,–,–,5.17,–,–,1.07,6.45,–,–,–,–,30.3,1440.0,157.0,88.6,6.53,398.0,78.3,50.5,3.43,–,–,–,12.4,139,–,–,–,–,–,–,–,8.67,0.723,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,57.8,–,73.6,58.8,74.6,–,5.5,3,WT550X171.5,WT550X171.5,172.0,21900,546,546,–,–,–,401,400,–,–,–,18,17.5,9.52,31,31.8,–,–,–,51.1,61.9,–,–,131,–,–,27.2,6.45,–,–,–,–,30.3,599.0,2570.0,1450.0,166.0,166.0,1280.0,828.0,87.1,–,–,–,5160,37.3,–,–,–,–,–,–,–,220,0.723,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1470,–,1870,1490,1890,–,140,76.2
WT,WT20X327.5,WT20X327.5,T,327.5,96.4,21.8,21.75,–,–,–,16.9,16.875,–,–,–,1.97,2,1,3.54,3.5625,–,–,–,4.72,4.8125,–,–,5.85,–,–,2.85,2.39,–,–,–,–,11.1,3730.0,426.0,234.0,6.22,1440.0,271.0,170.0,3.86,–,–,–,293,3190,–,–,–,–,–,–,–,8.38,0.763,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,59.5,–,76.4,60.5,77.4,–,7.5,3,WT500X488,WT500X488,488.0,62200,554,552,–,–,–,429,429,–,–,–,50,50.8,25.4,89.9,90.5,–,–,–,120,122,–,–,149,–,–,72.4,2.39,–,–,–,–,11.1,1550.0,6980.0,3840.0,158.0,599.0,4440.0,2790.0,98.0,–,–,–,122000,857,–,–,–,–,–,–,–,213,0.763,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1510,–,1940,1540,1970,–,191,76.2
WT,WT20X296.5,WT20X296.5,T,296.5,87.2,21.5,21.5,–,–,–,16.7,16.75,–,–,–,1.79,1.8125,0.9375,3.23,3.25,–,–,–,4.41,4.5,–,–,5.66,–,–,2.61,2.58,–,–,–,–,12,3310.0,379.0,209.0,6.16,1260.0,240.0,151.0,3.8,–,–,–,221,2340,–,–,–,–,–,–,–,8.29,0.762,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,58.7,–,75.4,59.7,76.4,–,7.5,3,WT500X441.5,WT500X441.5,442.0,56300,546,546,–,–,–,424,425,–,–,–,45.5,46,23.8,82,82.6,–,–,–,112,114,–,–,144,–,–,66.3,2.58,–,–,–,–,12,1380.0,6210.0,3420.0,156.0,524.0,3930.0,2470.0,96.5,–,–,–,92000,628,–,–,–,–,–,–,–,211,0.762,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1490,–,1920,1520,1940,–,191,76.2
WT,WT20X251.5,WT20X251.5,T,251.5,74.0,21,21,–,–,–,16.4,16.375,–,–,–,1.54,1.5625,0.8125,2.76,2.75,–,–,–,3.94,4,–,–,5.38,–,–,2.25,2.98,–,–,–,–,13.6,2730.0,314.0,174.0,6.07,1020.0,197.0,124.0,3.72,–,–,–,138,1400,–,–,–,–,–,–,–,8.17,0.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,57.4,–,73.8,58.4,74.8,–,7.5,3,WT500X374,WT500X374,374.0,47700,533,533,–,–,–,417,416,–,–,–,39.1,39.7,20.6,70.1,69.8,–,–,–,100,102,–,–,137,–,–,57.2,2.98,–,–,–,–,13.6,1140.0,5150.0,2850.0,154.0,425.0,3230.0,2030.0,94.5,–,–,–,57400,376,–,–,–,–,–,–,–,208,0.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1460,–,1870,1480,1900,–,191,76.2
WT,WT20X215.5,WT20X215.5,T,215.5,63.3,20.6,20.5,–,–,–,16.2,16.25,–,–,–,1.34,1.3125,0.6875,2.36,2.375,–,–,–,3.54,3.625,–,–,5.18,–,–,1.95,3.44,–,–,–,–,15.4,2290.0,266.0,148.0,6.01,843.0,164.0,104.0,3.65,–,–,–,88.2,881,–,–,–,–,–,–,–,8.09,0.756,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,56.4,–,72.6,57.4,73.6,–,7.5,3,WT500X321,WT500X321,321.0,40800,523,521,–,–,–,411,413,–,–,–,34,33.3,17.5,59.9,60.3,–,–,–,89.9,92.1,–,–,132,–,–,49.5,3.44,–,–,–,–,15.4,953.0,4360.0,2430.0,153.0,351.0,2690.0,1700.0,92.7,–,–,–,36700,237,–,–,–,–,–,–,–,205,0.756,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1430,–,1840,1460,1870,–,191,76.2
